Title,Year,Interventions,Subclass,Year2,Decade
Guy Rivers : a tale of Georgia /,1855,FALSE,PS,1855,1850s
"Histoire de l'église de France, composée sur les documents originaux et authentiques.",1856,FALSE,BR,1856,1850s
Le génie du Christianisme /,1858,FALSE,BR,1858,1850s
"Histoire des assemblées politiques des réformés de France, 1573-1622.",1859,FALSE,BR,1859,1850s
"... S. Fulgentii episcopi ruspensis, Felicis IV et Bonifacii II summorum pontificum, ss. Eleutherii et Remigii tornacensis remensisque episcoporum, Prosperi ex manichæo conversi, Montani episcopi toletani, opera omnia, ex memoratissimis editionibus Mangeantii, Mansi, Gallandii, Margarini de La Bigne, Francisci de Lorenzana diligenter expressa;",1861,FALSE,BR,1861,1860s
Works /,1862,FALSE,PR,1862,1860s
Works /,1862,FALSE,PR,1862,1860s
"The Holy Bible : containing the Old and New Covenants, literally and idiomatically translated out of the original languages /",1863,FALSE,BS,1863,1860s
"Prison life of Jefferson Davis : embracing details and incidents in his captivity, particulars concerning his health and habits, together with many conversations on topics of great public interest /",1866,FALSE,E,1866,1860s
"Christine: a troubadour's song, and other poems /",1866,FALSE,PS,1866,1860s
"An inquiry into the history of the originals of King James's Bible : when were they written, where were they written, who wrote them, and how they have been preserved, and handed down?",1868,FALSE,BS,1868,1860s
"The capture, the prison pen, and the escape : giving a complete history of prison life in the South, principally at Richmond, Danville, Macon, Savannah, Charleston, Columbia, Belle Isle, Millian, Salisbury, and Andersonville  ... embracing, also, the adventure of the author's escape from Columbia, South Carolina, his recapture, subsequent escape, recapture, trail as a spy, and final escape from Sylvania, Georgia /",1868,FALSE,E,1868,1860s
Robinson Crusoe /,1868,FALSE,PR,1868,1860s
"The writings of Methodius, Alexander of Lycopolis, Peter of Alexandria, and several fragments.",1869,FALSE,BR,1869,1860s
A plea for the Received Greek Text : and for the Authorized Version of the New Testament in answer to some of the Dean of Canterbury's Criticism of both /,1869,FALSE,BS,1869,1860s
"British classical authors: select specimens of the national literature of England, with biographical and critical sketches : poetry and prose /",1869,FALSE,PR,1869,1860s
Apocryphal gospels : acts & revelations.,1870,FALSE,BR,1870,1870s
"Records of the reformation : the divorce 1527-1533 : Mostly now for the first time printed from mss. in the British museum, the Public record office, the Venetian archives and other libraries /",1870,FALSE,BR,1870,1870s
Life of Daniel Webster.,1870,FALSE,E,1870,1870s
Ulrich von Hutten /,1871,FALSE,BR,1871,1870s
"The complaynt of Scotlande wyth ane exortatione to the thre estaits to be vigilante in the deffens of their public veil. 1549 : with an appendix of contemporary English tracts, viz. The just declaration of Henry VII (1542), The exhortation of James Harrysone, Scottisheman (1547), The epistle of the Lord Protector Somerset (1548). The epitome of Nicolas Bodrugan alias Adams (1548) /",1872,FALSE,PR,1872,1870s
The writings of the Apostolic fathers /,1873,FALSE,BR,1873,1870s
The orations of St. Athanasius against the Arians according to the Benedictine text.,1873,FALSE,BT,1873,1870s
"The myroure of Oure Ladye : containing a devotional treatise on divine service, with a translation of the offices used by the sisters of the Brigittine monastery of Sion, at Isleworth, during the fifteenth and sixteenth centuries. /",1873,FALSE,PR,1873,1870s
"Dictionary of sects, heresies, ecclesiastical parties, and schools of religious thought,",1874,FALSE,BR,1874,1870s
Amenities of literature : consisting of sketches and characters of English literature /,1874,FALSE,PR,1874,1870s
Dramatische werKe /,1874,FALSE,PR,1874,1870s
Idyls of the foothills : In prose and verse /,1874,FALSE,PS,1874,1870s
"Select monuments of the doctrine and worship of the Catholic church in England before the Norman conquest, consisting of Aelfric's Paschal homily and extracts from his epistles, &c., the Offices of the canonical hours, and three metrical prayers or hymns in Anglo-Saxon and partly in Latin /",1875,FALSE,BR,1875,1870s
Memoirs of General William T. Sherman /,1875,FALSE,E,1875,1870s
History of English dramatic literature to the death of Queen Anne.,1875,FALSE,PR,1875,1870s
"The works of Ben Jonson; with notes critical and explanatory, and a biographical memoir,",1875,FALSE,PR,1875,1870s
Geschichte der evangelischen Flüchtlinge in der Schweiz /,1876,FALSE,BR,1876,1870s
"Expository thoughts on the Gospel : for family and private use, with text complete /",1876,FALSE,BS,1876,1870s
Sketch of the life and character of Rutherford B. Hayes /,1876,FALSE,E,1876,1870s
Complete works ... /,1876,FALSE,PR,1876,1870s
Complete works ... /,1876,FALSE,PR,1876,1870s
The Chinese term for God : A letter to the Protestant missionaries of China.,1877,FALSE,BT,1877,1870s
Church & state: their relations historically developed /,1877,FALSE,BV,1877,1870s
The poetical works of John Milton /,1877,FALSE,PR,1877,1870s
"Saint Paul's Epistles to the Colossians and to Philemon : a  revised text with introductions, notes, and dissertations /",1879,FALSE,BS,1879,1870s
Zur Geschichte der Predigt : Charakterbilder der bedeutendsten Kanselredner /,1879,FALSE,BV,1879,1870s
"Halelviah or, Britans second remembrancer (1641) /",1879,FALSE,PR,1879,1870s
"Daniel Defoe,",1879,FALSE,PR,1879,1870s
"Godefridi Bullonii Lotharingiæ ducis postmodum Hierosolymorum regis primi Epistolæ et diplomata : accedunt appendices amplissimæ monumenta perplurima de bello sacro complectentes sequuntur [R]adulphi Ardentis Homiliæ duobus tomis distributæ intermiscentur Lupi Protospatarii Chronicon necnon Anselmi Mediolanensis ... [et al.] opuscula, diplomata, epistolæ /",1880,FALSE,BR,1880,1880s
The whole works of the Right Rev. Jeremy Taylor ... /,1880,FALSE,BR,1880,1880s
Lectures on the origin and growth of the Psalms.,1880,FALSE,BS,1880,1880s
Novum testamentum Graecae et Germanice. Das neue Testament griechisch nach Tischendorfs letzter Recension und deutsch nach dem revirdirten Luthertext /,1881,FALSE,BS,1881,1880s
Pike County ballads and other pieces /,1882,FALSE,PS,1882,1880s
[Works],1882,FALSE,PS,1882,1880s
[Works],1882,FALSE,PS,1882,1880s
Memoirs of John Adams Dix;,1883,FALSE,E,1883,1880s
Fielding.,1883,FALSE,PR,1883,1880s
The works of Samuel Richardson: With a prefatory chapter of biographical criticism /,1883,FALSE,PR,1883,1880s
The works of Samuel Richardson: With a prefatory chapter of biographical criticism /,1883,FALSE,PR,1883,1880s
"The siege of London, The pension Beaurepas, and The point of view.",1883,FALSE,PS,1883,1880s
"Othloni monachi S. Emmerammi, Opera omnia, ad fidem editionum melioris notae recognita expressa et emendata : accedunt Adami canonici Bremensis, gundechari eischtettensis episcopi Lamberti Hersfeldensis, Petri Malleacensis ; Annales et chronica ; intermiscentur Alexandri II papae ... [et al.] opuscula, diplomata, epistolae /",1884,FALSE,BR,1884,1880s
General history of the Christian religion and church:,1884,FALSE,BR,1884,1880s
History of the thirty years' war /,1884,FALSE,D,1884,1880s
The complete works /,1884,FALSE,PS,1884,1880s
The complete works /,1884,FALSE,PS,1884,1880s
The complete works /,1884,FALSE,PS,1884,1880s
The complete works /,1884,FALSE,PS,1884,1880s
"The divinity of our Lord and Saviour Jesus Christ : eight lectures preached before the University of Oxford in the year 1866, on the foundation of the late Rev. John Bampton, M.A., canon of Salisbury /",1885,FALSE,BR,1885,1880s
Die Glaube im Neuen Testament : eine Untersuchung zur neutestamentlichen Theologie /,1885,FALSE,BT,1885,1880s
"The life and times of Samuel Bowles,",1885,FALSE,E,1885,1880s
The sonnets of William Shakspeare /,1885,FALSE,PR,1885,1880s
Works in prose & verse /,1885,FALSE,PR,1885,1880s
Aunt Jo's scrap-bag : Shawl-straps.,1885,FALSE,PS,1885,1880s
"Reminiscences of Abraham Lincoln by distinguished men of his time,",1886,FALSE,E,1886,1880s
"Anatomy of melancholy : what it is with all the kinds, causes, symptoms, prognostics & several cures of it ..",1886,FALSE,PR,1886,1880s
Indian summer.,1886,FALSE,PS,1886,1880s
Castle Nowhere; lake country sketches.,1886,FALSE,PS,1886,1880s
Historisch-kritische Einleitung in die Bu_cher des alten Testaments hinsichtlich ihrer Entstehung und Sammlung.,1887,FALSE,BS,1887,1880s
Seventeen lectures on the study of medieval and modern history and kindred subjects;,1887,FALSE,D,1887,1880s
"The present position of European politics: or, Europe in 1887 /",1887,FALSE,D,1887,1880s
Poems /,1887,FALSE,PR,1887,1880s
Plays and poems /,1887,FALSE,PR,1887,1880s
"The story of a New York house,",1887,FALSE,PS,1887,1880s
The book of the visions and instructions of blessed Angela of Foligno : as taken down from her own lips /,1888,FALSE,BV,1888,1880s
"Four Oxford lectures, 1887. Fifty years of European history. Teutonic conquest in Gaul and Britain,",1888,FALSE,D,1888,1880s
Hannah More.,1888,FALSE,PR,1888,1880s
Roughing it /,1888,FALSE,PS,1888,1880s
Hans Sachs und die Reformation.,1889,FALSE,BR,1889,1880s
Ireland and the Anglo-Norman church : a history of Ireland and Irish Christianity from the Anglo-Norman conquest to the dawn of the reformation.,1889,FALSE,BR,1889,1880s
Essays towards a critical method  /,1889,FALSE,PR,1889,1880s
The works of Dr. Thomas Campion /,1889,FALSE,PR,1889,1880s
Macbeth and Lady Macbeth : an essay .,1889,FALSE,PR,1889,1880s
Bryan Maurice : or The seeker /,1889,FALSE,PS,1889,1880s
Masques and entertainments /,1890,FALSE,PR,1890,1890s
Gray and his friends : letters and relics in great part hitherto unpublished.,1890,FALSE,PR,1890,1890s
"Hyperion, a romance /",1890,FALSE,PS,1890,1890s
"Eleusis, a poem.",1890,FALSE,PS,1890,1890s
The incarnation of the Son of God,1891,FALSE,BR,1891,1890s
Ma confession /,1891,FALSE,BR,1891,1890s
Elsie Venner : a romance of destiny /,1891,FALSE,PS,1891,1890s
Life of Harriet Beecher Stowe : compiled from her letters and journals /,1891,FALSE,PS,1891,1890s
The ride to the lady: and other poems /,1891,FALSE,PS,1891,1890s
The evolution of Christianity /,1892,FALSE,BR,1892,1890s
"The books of Chronicles in relation to the Pentateuch and the ""higher criticism."" Five lectures delivered before the ""Society for promoting higher religious education"" at Wells, in the spring of 1892,",1892,FALSE,BS,1892,1890s
The genesis of Genesis: a study of the documentary sources of the first book of Moses in accordance with the results of critical science illustrating the presence of Bibles within the Bible ..,1892,FALSE,BS,1892,1890s
The dialogue or communing between the wise King Salomon and Marcolphus /,1892,FALSE,PR,1892,1890s
Timber: or Discoveries made upon men & matter /,1892,FALSE,PR,1892,1890s
Essays & notes on Shakespeare.,1892,FALSE,PR,1892,1890s
The dramatic works of George Farquhar .,1892,FALSE,PR,1892,1890s
"Dreams and days, poems /",1892,FALSE,PS,1892,1890s
"Venerabilis Hildeberti primo Cenomanensis episcopi deinde Turonensis archiepiscopi opera omnia tam edita quam inedita ; accesserunt Marbodi Redonensis episcopi, ipsius Hildeberti supparis opuscula ... de novo edita cum notis et quam plurimis additis genuinis operibus, e cod. mss. Erutis /",1893,FALSE,BR,1893,1890s
"Das lehrstück von den sieben hauptsüden : beitrag zur dogmen- & zur sittengeschichte, insbesondere der vorreformatorischen zeit; nebst einer textbeilage, Der kampf der laster & der tugenden nach Matthias Farinator & seinem mhd. excerptoren.",1893,FALSE,BV,1893,1890s
The decalogue.,1893,FALSE,BV,1893,1890s
"Leonidas Polk : bishop and general,",1893,FALSE,E,1893,1890s
Specimens of English dramatic poets who lived about the time of Shakespeare : including extracts from the Garrick plays.,1893,FALSE,PR,1893,1890s
Tales from Shakspeare : Including those by Charles and Mary Lamb /,1893,FALSE,PR,1893,1890s
The Life of George Herbert of Bemerton: Published under the direction of the Tract Committee.,1893,FALSE,PR,1893,1890s
Poetical works of Robert Herrick /,1893,FALSE,PR,1893,1890s
Sir John Vanbrugh /,1893,FALSE,PR,1893,1890s
"The pathfinder: or, The inland sea /",1893,FALSE,PS,1893,1890s
"Napoleon, a drama.",1893,FALSE,PS,1893,1890s
A native of Winby: and other tales /,1893,FALSE,PS,1893,1890s
Balcony stories /,1893,FALSE,PS,1893,1890s
"Wayside music : lyrics, songs & sonnets.",1893,FALSE,PS,1893,1890s
"The United States of America; a study of the American commonwealth, its natural resources, people, industries, manufactures, commerce, and its work in literature, science, education, and self-government;",1894,FALSE,E,1894,1890s
Life of Thomas Jefferson: third President of the United States /,1894,FALSE,E,1894,1890s
Endymion : The man in the moon ... /,1894,FALSE,PR,1894,1890s
Pembroke : a novel,1894,FALSE,PS,1894,1890s
An introduction to Michael Drayton.,1895,FALSE,PR,1895,1890s
The works of John Ford /,1895,FALSE,PR,1895,1890s
The front yard : and other Italian stories /,1895,FALSE,PS,1895,1890s
"Venerabilis Baedae Historiam ecclesiasticam gentis Anglorum, Historiam abbatum, Epistolam ad Ecgberctum, una cum Historia abbatum auctore anonymo,",1896,FALSE,BR,1896,1890s
"Liturgies, eastern and western; being the texts, original or translated, of the principal liturgies of the church.",1896,FALSE,BV,1896,1890s
The treasury of American sacred song: with notes explanatory and biographical /,1896,FALSE,PS,1896,1890s
Lectures and biographical sketches /,1896,FALSE,PS,1896,1890s
"Life and letters of Oliver Wendell Holmes,",1896,FALSE,PS,1896,1890s
"Bracebridge hall; or, The humourists.",1896,FALSE,PS,1896,1890s
The works of Dionysius the Areopagite /,1897,FALSE,BR,1897,1890s
"The mission of St. Augustine to England according to the original documents, being a handbook for the thirteenth centenary,",1897,FALSE,BR,1897,1890s
"Russia and Turkey in the nineteenth century,",1897,FALSE,D,1897,1890s
The Towneley plays /,1897,FALSE,PR,1897,1890s
"Varia,",1897,FALSE,PS,1897,1890s
The lady of the violets /,1897,FALSE,PS,1897,1890s
"Well-worn roads of Spain, Holland, and Italy; traveled by a painter in search of the picturesque.",1898,FALSE,D,1898,1890s
"An account of Anne Bradstreet, the Puritan poetess: and kindred topics /",1898,FALSE,PS,1898,1890s
"Caleb West, master diver.",1898,FALSE,PS,1898,1890s
The five theological orations of Gregory of Nazianzus.,1899,FALSE,BR,1899,1890s
A critical and exegetical commentary on the book of Proverbs /,1899,FALSE,BS,1899,1890s
An introduction to the fifth book of Hooker's treatise Of the laws of ecclesiastical polity,1899,FALSE,BV,1899,1890s
Martha Washington.,1899,FALSE,E,1899,1890s
Daniel Webster /,1899,FALSE,E,1899,1890s
"The Jacksonian epoch,",1899,FALSE,E,1899,1890s
The house of the seven gables /,1899,FALSE,PS,1899,1890s
Life and letters of John Greenleaf Whittier.,1899,FALSE,PS,1899,1890s
The story of the China inland mission ... /,1900,FALSE,BV,1900,1900s
The history of the Melanesian mission /,1900,FALSE,BV,1900,1900s
"The writings of James Madison: comprising his public papers and his private correspondence, including numerous letters and documents now for the first time printed /",1900,FALSE,E,1900,1900s
New York in the Spanish-American war 1898 : Part of the report of the Adjutant-General of the state .,1900,FALSE,E,1900,1900s
The soft side /,1900,FALSE,PS,1900,1900s
"Latin America; the pagans, the Papists, the patriots, the Protestants and the present problem,",1901,FALSE,BV,1901,1900s
Victorian prose masters; Thackeray--Carlyle--George Eliot--Matthew Arnold--Ruskin--George Meredith;,1901,FALSE,PR,1901,1900s
The language and metre of Chaucer /,1901,FALSE,PR,1901,1900s
"Shakespearean wars: Shakespeare as a dramatic artist, with an account of his reputation at various periods ..",1901,FALSE,PR,1901,1900s
The ruling passion : tales of nature and human nature /,1901,FALSE,PS,1901,1900s
The garden of a commuter's wife;,1901,FALSE,PS,1901,1900s
"Eusebius Kirchengeschichte, Buch VI und VII;",1902,FALSE,BR,1902,1900s
"Komposition und Entstehungszeit der Oracula sibyllina,",1902,FALSE,BR,1902,1900s
"Patristic study,",1902,FALSE,BR,1902,1900s
"Centennial survey of foreign mission: a statistical supplement to ""Christian missions and social progress"", being a conspectus of the achievements and results of evangelical missions in all lands at the close of the nineteenth century /",1902,FALSE,BV,1902,1900s
"The new empire,",1902,FALSE,D,1902,1900s
"A glossary to the works of William Shakespeare,",1902,FALSE,PR,1902,1900s
The novels of Samuel Richardson ... /,1902,FALSE,PR,1902,1900s
The novels of Samuel Richardson ... /,1902,FALSE,PR,1902,1900s
The works of Tobias Smollett.,1902,FALSE,PR,1902,1900s
Complete works of Edgar Allan Poe.,1902,FALSE,PS,1902,1900s
"Barnaby Lee,",1902,FALSE,PS,1902,1900s
"The influence of Christianity upon national character, illustrated by the lives and legends of the English saints; being the Bampton lectures preached before the University of Oxford in the year 1903,",1903,FALSE,BR,1903,1900s
"A manual of mystical theology, or, The extraordinary graces of the supernatural life explained /",1903,FALSE,BV,1903,1900s
"Life of General Philip Schuyler, 1733-1804.",1903,FALSE,E,1903,1900s
Letters home /,1903,FALSE,PS,1903,1900s
"Love-letters of Margaret Fuller, 1845-1846 /",1903,FALSE,PS,1903,1900s
Le christianisme dans l'empire perse sous la dynastie Sassanide (224-632),1904,FALSE,BR,1904,1900s
The problem of suffering in the Old Testament /,1904,FALSE,BS,1904,1900s
Jakob Boehme & die romántiker,1904,FALSE,BV,1904,1900s
"Studies of a booklover,",1904,FALSE,PR,1904,1900s
The squyr of lowe degre.,1904,FALSE,PR,1904,1900s
Tragical history of Doctor Faustus /,1904,FALSE,PR,1904,1900s
Shakspere's As you like it /,1904,FALSE,PR,1904,1900s
"William Shakespeare, his family and friends,",1904,FALSE,PR,1904,1900s
An essay on man /,1904,FALSE,PR,1904,1900s
The story of the other wise man.,1904,FALSE,PS,1904,1900s
"Essays on some theological questions of the day,",1905,FALSE,BR,1905,1900s
Johann Eberlin von Günsburg : ein reformatorisches Charakterbild aus Luthers Zeit /,1905,FALSE,BR,1905,1900s
"The Psalter of the church; the Septuagint Psalms compared with the Hebrew, with various notes,",1905,FALSE,BS,1905,1900s
The endless life /,1905,FALSE,BT,1905,1900s
Early Christian doctrine.,1905,FALSE,BV,1905,1900s
Religions of mission fields as viewed by Protestant missionaries .,1905,FALSE,BV,1905,1900s
"Europe in the sixteenth century, 1494-1598,",1905,FALSE,D,1905,1900s
Harper's encyclopædia of United States history from 458 A.D. to 1905 : based upon the plan of Benson John Lossing /,1905,FALSE,E,1905,1900s
"The confederation and the constitution, 1783-1789 /",1905,FALSE,E,1905,1900s
On ten plays of Shakespeare.,1905,FALSE,PR,1905,1900s
"The conquest of Canaan, a novel",1905,FALSE,PS,1905,1900s
"The indifference of Juliet,",1905,FALSE,PS,1905,1900s
A critical and exegetical commentary on the Epistle to the Romans /,1906,FALSE,BS,1906,1900s
"A narrative of explorations in New Mexico, Arizona, Indiana, etc. : Together with a brief history of the department /",1906,FALSE,E,1906,1900s
"The prioresses tale, Sire Thopas, the Monkes tale, the Clerkes tale, the Squieres tale, from the Canterbury tales;",1906,FALSE,PR,1906,1900s
The pearl : a middle English poem /,1906,FALSE,PR,1906,1900s
The poetical works of Oliver Goldsmith /,1906,FALSE,PR,1906,1900s
"Paulus,",1907,FALSE,BS,1907,1900s
Deutsche schriften /,1907,FALSE,BV,1907,1900s
(La) frontière de l'Euphrate de Pompée à la conquête arabe /,1907,FALSE,D,1907,1900s
The crusaders in the East: a brief history of the wars of Islam with the Latins in Syria during the twelfth and thirteenth centuries /,1907,FALSE,D,1907,1900s
"The early diary of Frances Burney, 1768-1778 : with a selection from her correspondence, and from the journals of her sisters Susan and Charlotte Burney /",1907,FALSE,PR,1907,1900s
Der erste Clemensbrief in altkoptischer Übersetzung /,1908,FALSE,BR,1908,1900s
The confessions of Augustine /,1908,FALSE,BR,1908,1900s
"The Irish in the American revolution, and their early influence in the colonies,",1908,FALSE,E,1908,1900s
Wanderer and Seefahrer im rahmen der altenglischen Odoaker-dichtung.,1908,FALSE,PR,1908,1900s
"Views and reviews,",1908,FALSE,PR,1908,1900s
"A study of Clough, Arnold, Rossetti and Morris: with an introd. on the course of poetry from 1822 to 1852 /",1908,FALSE,PR,1908,1900s
A concordance to the English poems of Thomas Gray /,1908,FALSE,PR,1908,1900s
A sentimental journey through France and Italy /,1908,FALSE,PR,1908,1900s
The acts of the Apostles /,1909,FALSE,BS,1909,1900s
Korea in transition /,1909,FALSE,BV,1909,1900s
Central Italy and Rome : handbook for travellers /,1909,FALSE,D,1909,1900s
Les Burgondes jusqu'en 443. Contribution à l'histoire externe du droit germanique. Avec 2 cartes et un tableau généalogique.,1909,FALSE,D,1909,1900s
"The history of freedom and other essays,",1909,FALSE,D,1909,1900s
"Antiquities of the Mesa Verde National Park, Sprucetree House /",1909,FALSE,E,1909,1900s
Drei jahrhunderte deutschen Lebens in Amerika: eine Geschichte der deutschen in den Vereinigten Staaten /,1909,FALSE,E,1909,1900s
Is Shakespeare dead? From my autobiography /,1909,FALSE,PR,1909,1900s
Forty minutes late: and other stories /,1909,FALSE,PS,1909,1900s
A critical and exegetical commentary on Genesis /,1910,FALSE,BS,1910,1910s
"Theologie des Neuen Testaments,",1910,FALSE,BS,1910,1910s
"The development of trinitarian doctrine in the Nicene and Athanasian creeds; a study in theological definition,",1910,FALSE,BT,1910,1910s
"Ritual: its use and misue, considered especially in view of the church's debt to the lost world; and three papers on some curiosities of patristic and medieval literature.",1910,FALSE,BV,1910,1910s
"Our Slavic fellow citizens,",1910,FALSE,E,1910,1910s
"The intimate life of Alexander Hamilton, based chiefly upon original family letters and other documents, many of which have never been published,",1910,FALSE,E,1910,1910s
"The diary of James K. Polk during his presidency, 1845 to 1849, now first printed from the original manuscript in the collections of the Chicago historical society;",1910,FALSE,E,1910,1910s
Representative biographies of English men of letters;,1910,FALSE,PR,1910,1910s
English tragicomedy : its origin and history,1910,FALSE,PR,1910,1910s
Beowulf /,1910,FALSE,PR,1910,1910s
Once upon a time /,1910,FALSE,PS,1910,1910s
Glaube und Unglaube in der Weltgeschichte : ein Kommentar zu Augustins De civitate Dei. Mit einem Exkurs: Fruitio Dei; ein Beitrag zur Geschichteder Theologie und der Mystik.,1911,FALSE,BR,1911,1910s
Aus wissenschaft und leben /,1911,FALSE,BR,1911,1910s
"The book of Ruth : introduction, critically-revised text, critical notes, translation, and explanatory notes",1911,FALSE,BS,1911,1910s
"The book of Habakkuk : introduction, translation, and notes on the Hebrew text /",1911,FALSE,BS,1911,1910s
The religious experience of Saint Paul /,1911,FALSE,BS,1911,1910s
Evangiles apocryphes.,1911,FALSE,BS,1911,1910s
"The Incarnation : a study of Philippians II, 5-11 and a university sermon on Psalm CX /",1911,FALSE,BT,1911,1910s
Speeches of William Jennings Bryan: rev. and arranged by himself /,1911,FALSE,E,1911,1910s
Ulysses S. Grant.,1911,FALSE,E,1911,1910s
Musik und musikausdrücke in der mittelenglischen litteratur .,1911,FALSE,PR,1911,1910s
King Edward the First /,1911,FALSE,PR,1911,1910s
The tragedy of Caesar's revenge,1911,FALSE,PR,1911,1910s
"Hard labor, and other poems.",1911,FALSE,PS,1911,1910s
The world that God destroyed : and other poems /,1911,FALSE,PS,1911,1910s
"S. Augustine, the preacher /",1912,FALSE,BR,1912,1910s
Das Evangelium des Johannes ausgelegt.,1912,FALSE,BS,1912,1910s
Paul and his interpreters: a critical history /,1912,FALSE,BS,1912,1910s
Texte aus der deutschen mystik des 14. & 15. jahrhunderts.,1912,FALSE,BV,1912,1910s
"(Le) culte de Cyèle, mère des dieux à Rome et dans l'Empire romain /",1912,FALSE,D,1912,1910s
The life of Ellen H. Richards /,1912,FALSE,D,1912,1910s
"La question d'Orient depuis ses origines jusqu'à nos jours,",1912,FALSE,D,1912,1910s
"The development of the European nations, 1870-1900 /",1912,FALSE,D,1912,1910s
Early man in South America /,1912,FALSE,E,1912,1910s
"Chivalry in English literature: Chaucer, Malory, Spenser and Shakespeare,",1912,FALSE,PR,1912,1910s
English lyrical poetry from its origins to the present time /,1912,FALSE,PR,1912,1910s
The Countesse of Pembrokes Arcadia /,1912,FALSE,PR,1912,1910s
The women of Shakespeare /,1912,FALSE,PR,1912,1910s
"Mark Twain, a biography; the personal and literary life of Samuel Langhorne Clemens,",1912,FALSE,PS,1912,1910s
A dome of many-coloured glass /,1912,FALSE,PS,1912,1910s
